S/N,Code,Description,Table,Classification
1,SL800A,"ANTERIOR CHAMBER PARACENTESIS, IRRIGATION OR
REFORMATION",1B,Existing
2,SL802A,"ANTERIOR CHAMBER, VARIOUS LESIONS, VITREOUS REMOVAL",3B,Existing
3,SL700B,"BROW, BROWLIFT, ENDOSCOPIC, BILATERAL",5A,Existing
4,SL701B,"BROW, BROWLIFT, ENDOSCOPIC, BILATERAL WITH MID- FACE LIFT",5C,Existing
5,SL702B,"BROW, BROWLIFT, ENDOSCOPIC, UNILATERAL",4A,Existing
6,SL703B,"BROW, DIRECT BROWPLASTY, BILATERAL",3C,Existing
7,SL704B,"BROW, DIRECT BROWPLASTY, UNILATERAL",3A,Existing
8,SL819B,"BIOPSY: CORNEAL, LIMBAL, ORAL, CONJUNCTIVA",1B,Existing
9,SL700C,"CONJUNCTIVA, EXCISION OF PTERYGIUM, BARE SCLERA",1A,Existing
10,SL701C,"CONJUNCTIVA, PTERYGIUM, REMOVAL, COMPLEX (RECURRENT, DOUBLE, SYMBLEPHARON), WITH OR WITHOUT AMNIOTIC MEMBRANE TRANSPLANT",3B,Existing
11,SL702C,"CORNEA, ASTIGMATIC KERATOTOMY (WITH OR WITHOUT LIMBAL RELAXING INCISIONS / GRAFT REFRACTIVE SURGERY)",3A,Existing
12,SL703C,"CORNEA, DESCEMET'S MEMBRANE ENDOTHELIAL KERATOPLASTY (DMEK)",6B,Existing
13,SL704C,"CORNEA, RIBOFLAVIN-UVA INDUCED COLLAGEN CROSSLINKING TREATMENT FOR CORNEAL ECTASIA (CXL-CROSSLINKING LASER/POST LASIK
KERATECTOMY/KERATITIS)",3B,Existing
14,SL705C,"CORNEA/CONJUNCTIVA, GUNDERSON FLAP",3B,Existing
15,SL706C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 1",7C,Existing
16,SL707C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO-
KERATOPROSTHESIS STAGE 2",5C,Existing
17,SL708C,"CORNEA, FOREIGN BODY, REMOVAL",MSP,Existing
18,SL709C,"CORNEA, SUPERFICIAL KERATECTOMY",2A,Existing
19,SL800C,"CONJUNCTIVA, LIMBIC TUMOR, REMOVAL",2C,Existing
20,SL801C,"CONJUNCTIVA, NAEVUS, REMOVAL",1B,Existing
21,SL802C,"CONJUNCTIVA, PINGUECULA, REMOVAL",1B,Existing
22,SL803C,"CONJUNCTIVA, PTERYGIUM, REMOVAL WITH CONJUNCTIVAL GRAFT",3A,Existing
