S/N,Code,Description,Table,Classification
1,SH700G,"GENITAL TRACT, VARIOUS LESIONS,
HYSTEROSALPINGOGRAPHY",,Existing
2,SH706M,"MALE GENITALIA, ELECTROEJECULATION",,Existing
3,SH800M,"MALE GENITALIA, TRANSSEXUALISM (TRANSVESTISM), SEX REASSIGNMENT (MALE TO FEMALE)",,Existing
4,SH801M,"MALE GENITALIA, TRANSSEXUALISM (TRANSVESTISM), SEX REASSIGNMENT WITH MAMMOPLASTY (MALE TO FEMALE)",,Existing
5,SH700P,"PENIS, GLANULAR HYPOSPADIAS, MEATOPLASTY AND CIRCUMCISION",,Existing
6,SH701P,"PENIS, PARAPHIMOSIS/PHIMOSIS, REDUCTION",,Existing
7,SH702P,"PENIS, PEYRONIE'S DISEASE, INCISION AND GRAFTING",,Existing
8,SH703P,"PENIS, REMOVAL OF ""PENILE"" IMPLANT",,Existing
9,SH704P,"PENIS, TUMOR, AMPUTATION (PARTIAL) + BILATERAL RADICAL LN DISSECTION",,Existing
10,SH705P,"PROSTATE GLAND, PROSTATE IMRT (INTENSITY MODULATED RADIATION THERAPY) GOLD SEEDS INSERTION",,Existing
11,SH706P,"PROSTATE GLAND, LASER VAPORISATION OF PROSTATE",,Existing
12,SH800P,"PENIS, EPISPADIAS, REPAIR INVOLVING BLADDER NECK CLOSURE",,Existing
13,SH801P,"PENIS, EPISPADIAS, REPAIR NOT INVOLVING
SPHINCTER (EACH STAGE)",,Existing
14,SH802P,"PENIS, CORRECTION OF CHORDEE",,Descriptor change
15,SH803P,"PENIS, CORRECTION OF CHORDEE WITH
TRANSPLANTATION OF PREPUCE",,"Descriptor
change"
16,SH804P,"PENIS, HYPOSPADIAS, MEATOTOMY & HEMICIRCUMCISION",,Existing
17,SH805P,"PENIS, HYPOSPADIAS, SECONDARY CORRECTION",,Existing
18,SH806P,"PENIS, HYPOSPADIAS, URETHRAL RECONSTRUCTION",,Existing
19,SH807P,"PENIS, HYPOSPADIAS, URETHRAL RECONSTRUCTION & CORRECTION OF CHORDEE",,Existing
20,SH808P,"PENIS, PARAPHIMOSIS/PHIMOSIS/REDUCTION PREPUCE, CIRCUMCISION",,Existing
21,SH809P,"PENIS, PENILE WARTS, LASER VAPORISATION",,Existing
22,SH810P,"PENIS, PEYRONIE'S DISEASE, OPERATION",,Existing
23,SH811P,"PENIS, PRIAPISM, DECOMPRESSION (SHUNT OP)",,Existing
24,SH812P,"PENIS, PRIAPISM, DECOMPRESSION (SINGLE)",,Existing
25,SH813P,"PENIS, SEX REASSIGNMENT (FEMALE TO MALE), IMPLANTATION OF PENILE PROSTHESIS",,Existing
26,SH814P,"PENIS, TRAUMA (AMPUTATION), MICROVASCULAR REATTACHMENT",,Existing
27,SH815P,"PENIS, TRAUMA, RECONSTRUCTION (1ST STAGE)",,Existing
28,SH816P,"PENIS, TRAUMA, RECONSTRUCTION (2ND STAGE)",,Existing
29,SH817P,"PENIS, TRAUMA, REPAIR OF AVULSION",,Existing
30,SH818P,"PENIS, TRAUMA, REPAIR OF LACERATION/FRACTURE INVOLVING CAVERNOUS TISSUE",,Existing
31,SH819P,"PENIS, TUMOUR, AMPUTATION (PARTIAL)",,Existing
32,SH820P,"PENIS, TUMOR, AMPUTATION (TOTAL)",,Existing
33,SH821P,"PENIS, TUMOR, AMPUTATION (TOTAL) WITH BLOCK DISSECTION",,Existing
34,SH822P,"PENIS, VARIOUS LESIONS, ANDROSCOPIC
EXAMINATION",,Existing
35,SH823P,"PENIS, VARIOUS LESIONS, EXCISION",,Existing
36,SH824P,"PENIS, VARIOUS LESIONS, INJECTION",,Existing
37,SH825P,"PENIS, VARIOUS LESIONS, INSERTION OF PENILE PROSTHESIS",,Existing
38,SH826P,"PROSTATE GLAND, ABSCESS, RETROPUBIC/ENDOSCOPIC DRAINAGE",,Existing
39,SH827P,"PROSTATE GLAND, HYPERTROPHY, INSERTION OF PROSTATIC STENT",,Existing
40,SH829P,"PROSTATE GLAND, SIMPLE PROSTATECTOMY",,Descriptor change
41,SH830P,"PROSTATE GLAND, VARIOUS LESIONS, RADICAL PROSTATECTOMY, WITHOUT LYMPH NODE DISSECTION",,Descriptor change
42,SH838P,"PROSTATE GLAND, VARIOUS LESIONS, RADICAL PROSTATECTOMY, WITH LYMPH NODE DISSECTION",,New
43,SH832P,"PROSTATE GLAND, PROSTATE, BENIGN HYPERPLASIA, MINIMALLY INVASIVE ABLATION",,Existing
44,SH833P,"PROSTATE GLAND, VARIOUS LESIONS, TRANS-RECTAL ULTRASOUND (TRUS)",,Existing
45,SH834P,"PROSTATE GLAND, VARIOUS LESIONS, TRANS-RECTAL
ULTRASOUND (TRUS) GUIDED BIOPSY",,Existing
46,SH835P,"PROSTATE GLAND, VARIOUS LESIONS, SATURATION PROSTATE BIOPSY OR MRI-US GUIDED FUSION BIOPSY",,Descriptor change
47,SH836P,"PROSTATE GLAND, VARIOUS LESIONS, TRANSURETHRAL RESECTION (TURP)/ENUCLEATION
OF PROSTATE (RESECTED WEIGHT LESS THAN 30G)",,Descriptor change
48,SH837P,"PROSTATE GLAND, VARIOUS LESIONS, TRANSURETHRAL RESECTION (TURP)/ENUCLEATION OF PROSTATE (RESECTED WEIGHT MORE THAN 30G)",,Descriptor change
49,SH800S,"SCROTUM, HYDROCELE, ASPIRATION",,Existing
50,SH801S,"SCROTUM, HYDROCELE/VARICOCELE (BILATERAL), EXCISION",,Existing
51,SH802S,"SCROTUM, HYDROCELE/VARICOCELE (UNILATERAL), EXCISION",,Existing
52,SH803S,"SPERMATIC CORD, SPERMATOCELE/EPIDIDYMAL CYST, EXCISION",,Existing
53,SH804S,"SPERMATIC CORD, VARIOUS LESIONS, EPIDIDYMECTOMY",,Existing
54,SH700T,"TESTIS, TORSION TESTIS, ORCHIDECTOMY DONE WITH
FIXATION OF CONTRALATERAL TESTIS",,Existing
55,SH701T,"TESTIS, VARIOUS LESIONS, ORCHIDECTOMY (SIMPLE) (MIS)",,Existing
