S/N,Code,Description,Table,Classification
1,SC700A,"AUTOFLUORESCENCE/ NARROW BAND IMAGING (NBI)
BRONCHOSCOPY",3A,Existing
2,SC700B,"LUNG, BRONCHOSCOPY, INSERTION OF PROSTHESIS6",3B,Descriptor change
3,SC702B,"BRONCHUS/LUNG, TRANSBRONCHIAL NEEDLE ASPIRATION OF MEDIASTINAL LYMPH NODES, WITH OR WITHOUT ENDOBRONCHIAL ULTRASOUND (EBUS)",3A,Existing
4,SC703B,"BRONCHUS/LUNG, BRONCHOSCOPY WITH/WITHOUT BIOPSY",1B,Existing
5,SC704B,"BRONCHUS/LUNG, BRONCHOSCOPY WITH BIOPSY, BRONCHOALVEOLAR LAVAGE",2A,Existing
6,SC705B,"BRONCHUS/LUNG, BRONCHOSCOPY, BLIND TRANSBRONCHIAL LUNG BIOPSY FOR DIFFUSE DISEASE",2A,Existing
7,SC706B,"BRONCHUS/LUNG, BRONCHOSCOPY, TARGETED
TRANSBRONCHIAL LUNG BIOPSY FOR FOCAL LESIONS (IMAGING-GUIDED)",2C,Existing
8,SC707B,"BRONCHUS/LUNG, BRONCHOSCOPY, WITH DILATATION OF TRACHEAL AND BRONCHIAL STRICTURE",3A,Existing
9,SC800B,"BRONCHUS, FOREIGN BODY, REMOVAL VIA
BRONCHOTOMY",4A,Existing
10,SC801B,"BRONCHUS, VARIOUS LESIONS, BRONCHOPLASTIC PROCEDURE",5C,Existing
11,SC802B,"BRONCHUS/TRACHEA, VARIOUS LESIONS, LASER
APPLICATION",4A,Existing
12,SC818B,"BRONCHUS, VARIOUS LESIONS, BRONCHIAL THERMOPLASTY/BRONCHUS RADIOFREQUENCY ABLATION",3A,Existing
13,SC800D,"DIAPHRAGM, TUMOR, EXCISION",5A,Existing
14,SC801D,"DIAPHRAGM, TUMOR, EXCISION WITH WEDGE RESECTION OF LUNG",6B,Existing
15,SC802D,"DIAPHRAGM, VARIOUS LESIONS, PLICATION",3C,New
16,SC700L,"LARYNX, LARYNGEAL MASK AIRWAY",MSP,Existing
17,SC701L,"LUNG, VARIOUS LESIONS, PNEUMONECTOMY/LOBECTOMY/SEGMENTAL RESECTION",5B,Existing
18,SC702L,"LUNG, MASSIVE HEMOPTYSIS, BRONCHIAL ARTERY EMBOLISATION",4B,Existing
19,SC703L,"LUNG, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE (RADIOFREQUENCY,
CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",3C,Existing
20,SC704L,"LUNG, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4A,Existing
