S/N,Code,Description,Table,Classification
1,SF701A,"ABDOMEN/PELVIS, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER
ADJUSTMENT/CHECK TUBE",1A,Existing
2,SF702A,"ABDOMEN/PELVIS, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing
3,SF704A,"ABDOMEN, LAPAROTOMY, TRAUMA REOPERATION",5A,Existing
4,SF705A,"ABDOMEN, LAPAROTOMY, TRAUMA, DAMAGE CONTROL, HAEMOSTASIS, PACKING",5A,Existing
5,SF706A,"ABDOMEN, PERITONEAL CAVITY, ASCITES/FLUID/ABSCESS COLLECTION, IMAGING GUIDED PERCUTANEOUS ASPIRATION/DIAGNOSTIC TAP/CATHETER",1B,Existing
6,SF707A,"ABDOMEN, RETROPERITONEUM, ABSCESS, DRAINAGE WITH/WITHOUT LAPAROTOMY",3A,Existing
7,SF708A,"ABDOMEN, RETROPERITONEUM, TUMOR, REMOVAL",5C,Existing
8,SF709A,"ABDOMINAL CAVITY, RECURRENT ABDOMINAL TUMOR, RESECTION WITH COMPLETE ABDOMINOPELVIC PERITONECTOMY AND HYPERTHERMIC INTRAOPERATIVE
CHEMOTHERAPY",7A,Existing
9,SF710A,"ABDOMEN, MAJOR/MULTIPLE ORGAN REPAIR (TRAUMA)",6B,Existing
10,SF711A,"ANAL INCONTINENCE, ARTIFICIAL BOWEL SPHINCTER INSERTION",5A,Existing
11,SF712A,"ANAL INCONTINENCE, COMPLEX PROCEDURES
INCLUDING MUSCLE TRANSPOSITION",5C,Existing
12,SF713A,ANAL SPHINCTER BULKING INJECTION WITH OR WITHOUT RECTAL ULTRASOUND GUIDANCE,2C,Existing
13,SF714A,ANGIOEMBOLISATION FOR TRAUMA,4B,Existing
14,SF715A,"ANUS, ANO-RECTAL MALFORMATION, ANOPLASTY",2C,Existing
15,SF716A,"ANUS, ANO-RECTAL MALFORMATION (CLOACA/ABDOMINOPERINEAL)",6C,Existing
16,SF717A,"ANUS, ANO-RECTAL MALFORMATION, LIMITED POSTERIOR SAGITTAL ANORECTOPLASTY (PSARP)",4A,Existing
17,SF718A,"ANUS, ANO-RECTAL MALFORMATION, POSTERIOR SAGITTAL ANORECTOPLASTY (PSARP)",5C,Existing
18,SF719A,"ANUS, ANO-RECTAL MALFORMATION, ANORECTOPLASTY (MIS)",5C,Existing
19,SF720A,"ANUS, FISTULA-IN-ANO, INSERTION OF SETON",1C,Existing
20,SF721A,"ANUS, HEMORRHOIDS, TRANSANAL HAEMORRHOIDAL DEARTERIALIZATION (THD)",2C,Existing
21,SF722A,"ANUS, SPHINCTEROPLASTY FOR ANAL INCONTINENCE",4B,Existing
22,SF723A,"APPENDIX, VARIOUS LESIONS/ABSCESS, APPENDICECTOMY WITH DRAINAGE",4A,Descriptor change
23,SF800A,"ABDOMINAL CAVITY, ADHESIONS (EXTENSIVE), LYSIS AS PRIMARY PROCEDURE, EXTENSIVE WITH OR WITHOUT BOWEL RESECTION WHERE TIME TAKEN IS MORE THAN
2HOURS",4A,Descriptor change
24,SF801A,"ABDOMINAL CAVITY, ADHESIONS (LIMITED), LYSIS AS PRIMARY PROCEDURE WHERE TIME TAKEN IS LESS THAN 2HOURS",3B,Descriptor change
25,SF802A,"ABDOMINAL CAVITY, LYMPHOMA,FOR GRADING LYMPHOMA WITH SPLENECTOMY/LIVER/LYMPH NODE BIOPSY",4B,Descriptor change
26,SF803A,"ABDOMINAL CAVITY, MULTIPLE RUPTURES, MAJOR REPAIR/REMOVAL",6B,Existing
27,SF804A,"ABDOMINAL CAVITY, NEONATAL ALIMENTARY
OBSTRUCTION, LAPAROTOMY",5C,Existing
28,SF805A,"ABDOMINAL/RETROPERITONEAL TUMOUR, RECURRENT RESECTION WITH OR WITHOUT VASCULAR INVOLVEMENT AND VASCULAR REPAIR",6B,Existing
29,SF806A,"ABDOMINAL CAVITY, RUPTURED VISCUS, SIMPLE REPAIR",3B,Existing
30,SF807A,"ABDOMINAL CAVITY, SUBPHRENIC ABSCESS, DRAINAGE",3B,Existing
31,SF808A,"ABDOMINAL CAVITY, VARIOUS LESIONS, EXPLORATORY LAPAROTOMY",3A,Descriptor change
32,SF809A,"ABDOMINAL CAVITY, VARIOUS LESIONS, INCLUDING COLOSTOMY/ENTEROSTOMY/GASTROSTOMY",4A,Descriptor change
33,SF810A,"ABDOMINAL CAVITY, VARIOUS LESIONS, NOT CLASSIFIED ELSEWHERE",4A,Descriptor change
34,SF811A,"ABDOMINAL CAVITY, VARIOUS LESIONS, PARACENTESIS",MSP,Existing
35,SF854A,"ABDOMINAL CAVITY, REMOVAL/REPLACEMENT/REVISION OF GASTRIC BAND",4A,New
36,SF813A,"ABDOMINAL WALL, BURST ABDOMEN, REPAIR",3A,Existing
37,SF814A,"ABDOMINAL WALL, EPIGASTRIC/UMBILICAL HERNIA, REPAIR",3A,Descriptor change
38,SF815A,"ABDOMINAL WALL, EXOMPHALOS/GASTROSCHISIS, OPERATING BY PLASTIC FLAP",5B,Existing
39,SF816A,"ABDOMINAL WALL, EXOMPHALOS/GASTROSCHISIS, REPAIR",4A,Existing
40,SF817A,"ABDOMINAL WALL, INGUINAL HERNIA (INFANTS &
CHILDREN), HERNIOTOMY (BILATERAL)",4A,Existing
41,SF818A,"ABDOMINAL WALL, INGUINAL HERNIA (INFANTS & CHILDREN), HERNIOTOMY (UNILATERAL)",3A,Existing
42,SF819A,"ABDOMINAL WALL, INGUINAL/FEMORAL HERNIA,
UNILATERAL HERNIORRHAPHY",3B,"Descriptor
change"
43,SF820A,"ABDOMINAL WALL, INGUINAL/FEMORAL HERNIA, BILATERAL HERNIORRHAPHY",4C,Descriptor change
44,SF821A,"ABDOMINAL WALL, STRANGULATED/OBSTRUCTED HERNIA, REPAIR WITH BOWEL RESECTION",4C,Existing
45,SF822A,"ABDOMINAL WALL, STRANGULATED/OBSTRUCTED HERNIA, REPAIR WITHOUT BOWEL RESECTION",3C,Existing
46,SF823A,"ABDOMINAL WALL, VENTRAL/INCISIONAL/RECURRENT HERNIA, REPAIR",4A,Descriptor change
47,SF826A,"ANUS, ANO-RECTAL PROLAPSE, CIRCUMANAL SUTURE",1A,Existing
48,SF827A,"ANUS, ANO-RECTAL PROLAPSE, INJECTION",1A,Existing
49,SF828A,"ANUS, ANO-RECTAL PROLAPSE, RADICAL OPERATION WITHOUT RESECTION",5C,Existing
50,SF829A,"ANUS, ANO-RECTAL PROLAPSE, RADICAL OPERATION WITH RESECTION",4A,Existing
51,SF831A,"ANUS, FISSURE, EXCISION/LATERAL SPHINCTEROTOMY",2B,Existing
52,SF832A,"ANUS, FISTULA-IN-ANO (HIGH), COMPLEX AND RECURRENT FISTULECTOMY",3C,Existing
53,SF833A,"ANUS, FISTULA-IN-ANO, EXCISION/ FISTULECTOMY",2B,Existing
54,SF834A,"ANUS, HEMORRHOIDS, INJECTION/LIGATION/BANDING",MSP,Existing
55,SF835A,"ANUS, HEMORRHOIDS, CRYOSURGERY",1A,Existing
56,SF836A,"ANUS, HEMORRHOIDS, HEMORRHOIDECTOMY WITH OR
WITHOUT SIGMOIDOSCOPY",2C,Existing
57,SF837A,"ANUS, HEMORRHOIDS,STAPLED HAEMORRHOIDECTOMY",3A,Existing
58,SF838A,"ANUS, HEMORRHOIDS, REMOVAL OF EXTERNAL ANAL TAGS",1B,Existing
59,SF839A,"ANUS, INCONTINENCE, OPERATION",4A,Existing
60,SF840A,"ANUS, ISCHIORECTAL ABSCESS, SAUCERISATION",1B,Existing
61,SF841A,"ANUS, PERINEAL ABSCESS, SAUCERISATION/DRAINAGE",1B,Existing
62,SF842A,"ANUS, STRICTURE, DILATATION",1B,Existing
63,SF843A,"ANUS, STRICTURE, REPAIR",3B,Existing
64,SF844A,"ANUS, THROMBOSED EXTERNAL HEMORRHOID, INCISION
AND DRAINAGE",MSP,Existing
65,SF845A,"ANUS, TUMOR, ABDOMINO-PERINEAL RESECTION",6B,Descriptor change
66,SF846A,"ANUS, VARIOUS LESIONS, BIOPSY OF MUSCLE/MUCOSA",1B,Existing
67,SF847A,"APPENDIX, ABSCESS, DRAINAGE ONLY",2C,Existing
68,SF848A,"APPENDIX, TUMOR, RIGHT HEMICOLECTOMY WITH/WITHOUT ADHESIOLYSIS",5C,Descriptor change
69,SF849A,"APPENDIX, VARIOUS LESIONS, APPENDICECTOMY WITHOUT DRAINAGE",3B,Descriptor change
70,SF850A,"ABDOMINAL WALL, INGUINAL HERNIA (NEONATES), HERNIOTOMY (BILATERAL)",4C,Existing
71,SF851A,"ABDOMINAL WALL, INGUINAL HERNIA (NEONATES), HERNIOTOMY (UNILATERAL)",3C,Existing
72,SF852A,"ABDOMEN/PELVIS, VARIOUS LESIONS, INSERTION OF PERITONEAL DIALYSIS CATHETER",2A,Existing
73,SF853A,"ABDOMEN/PELVIS, VARIOUS LESIONS, REMOVAL OF PERITONEAL DIALYSIS CATHETER",2A,Existing
74,SF700B,"BILE DUCT, VARIOUS LESIONS. EXCISION OF LOWER 1/3 OF COMMON BILE DUCT BUT WITH PRESERVATION OF
PANCREATIC HEAD",6A,Existing
75,SF701B,"BILE DUCTS, CATHETER BLOCKAGE, IMAGING GUIDED
CATHETER CHANGE / CATHETER ADJUSTMENT / CHECK CHOLANGIOGRAM",1A,Existing
76,SF702B,"BILE DUCTS, STRICTURE, PERCUTANEOUS
TRANSHEPATIC BALLOON DILATATION",3B,Existing
77,SF703B,"BILE DUCTS, STRICTURE, PERCUTANEOUS TRANSHEPATIC BILIARY STENT PLACEMENT",3B,Existing
78,SF704B,"BILE DUCTS, VARIOUS LESIONS, CHECK CHOLANGIOGRAM",1A,Existing
79,SF705B,"BILE DUCTS, VARIOUS LESIONS, PERCUTANEOUS TRANSHEPATIC CHOLANGIOGRAPHY (PTC)",2C,Existing
80,SF706B,"BILE DUCTS, VARIOUS LESIONS, PERCUTANEOUS TRANSHEPATIC CHOLANGIOGRAPHY AND DRAINAGE CATHETER INSERTION (PTC AND DRAINAGE)",3A,Existing
81,SF707B,"BILE DUCT/GALL BLADDER, ENDOSCOPIC DILATION OF BILIARY STRICTURE",3C,Existing
82,SF709B,"BILE DUCT/GALL BLADDER, ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP) WITH
INSERTION OF NASOBILIARY DRAIN",3C,Existing
83,SF710B,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP) WITH SPHINCTEROTOMY/REMOVAL OF STONE/INSERTION OF BILIARY STENT,3C,Existing
84,SF711B,"BILE DUCT, ENDOSCOPIC RETROGRADE
CHOLANGIOPANCREATOGRAPHY (ERCP)",3A,Existing
